,skutype,skuname,corecount,ram,cpumaxcores,cputdp,memtdp,gpucount,gputdp,cputotaltdp,gputotaltdp,totaltdp
0,generalpurpose,Standard_DC1s_v2,1,4.0,8,95,1.5,0.0,0,11.875,0.0,13.375
1,generalpurpose,Standard_DC2s_v2,2,8.0,8,95,3.0,0.0,0,23.75,0.0,26.75
2,generalpurpose,Standard_DC4s_v2,4,16.0,8,95,6.0,0.0,0,47.5,0.0,53.5
3,generalpurpose,Standard_DC8_v2,8,32.0,8,95,12.0,0.0,0,95.0,0.0,107.0
4,generalpurpose,Standard_D1_v2,1,3.5,26,195,1.3125,0.0,0,7.5,0.0,8.8125
5,generalpurpose,Standard_D2_v2,2,7.0,26,195,2.625,0.0,0,15.0,0.0,17.625
6,generalpurpose,Standard_D3_v2,4,14.0,26,195,5.25,0.0,0,30.0,0.0,35.25
7,generalpurpose,Standard_D4_v2,8,28.0,26,195,10.5,0.0,0,60.0,0.0,70.5
8,generalpurpose,Standard_D5_v2,16,56.0,26,195,21.0,0.0,0,120.0,0.0,141.0
9,generalpurpose,Standard_DS1_v2,1,3.5,26,195,1.3125,0.0,0,7.5,0.0,8.8125
10,generalpurpose,Standard_DS2_v2,2,7.0,26,195,2.625,0.0,0,15.0,0.0,17.625
11,generalpurpose,Standard_DS3_v2,4,14.0,26,195,5.25,0.0,0,30.0,0.0,35.25
12,generalpurpose,Standard_DS4_v2,8,28.0,26,195,10.5,0.0,0,60.0,0.0,70.5
13,generalpurpose,Standard_DS5_v2,16,56.0,26,195,21.0,0.0,0,120.0,0.0,141.0
14,generalpurpose,Standard_D2_v3,2,8.0,26,195,3.0,0.0,0,15.0,0.0,18.0
15,generalpurpose,Standard_D4_v3,4,16.0,26,195,6.0,0.0,0,30.0,0.0,36.0
16,generalpurpose,Standard_D8_v3,8,32.0,26,195,12.0,0.0,0,60.0,0.0,72.0
17,generalpurpose,Standard_D16_v3,16,64.0,26,195,24.0,0.0,0,120.0,0.0,144.0
18,generalpurpose,Standard_D32_v3,32,128.0,26,195,48.0,0.0,0,240.0,0.0,288.0
19,generalpurpose,Standard_D48_v3,48,192.0,26,195,72.0,0.0,0,360.0,0.0,432.0
20,generalpurpose,Standard_D64_v3,64,256.0,26,195,96.0,0.0,0,480.0,0.0,576.0
21,generalpurpose,Standard_D2s_v3,2,8.0,26,195,3.0,0.0,0,15.0,0.0,18.0
22,generalpurpose,Standard_D4s_v3,4,16.0,26,195,6.0,0.0,0,30.0,0.0,36.0
23,generalpurpose,Standard_D8s_v3,8,32.0,26,195,12.0,0.0,0,60.0,0.0,72.0
24,generalpurpose,Standard_D16s_v3,16,64.0,26,195,24.0,0.0,0,120.0,0.0,144.0
25,generalpurpose,Standard_D32s_v3,32,128.0,26,195,48.0,0.0,0,240.0,0.0,288.0
26,generalpurpose,Standard_D48s_v3,48,192.0,26,195,72.0,0.0,0,360.0,0.0,432.0
27,generalpurpose,Standard_D64s_v3,64,256.0,26,195,96.0,0.0,0,480.0,0.0,576.0
28,generalpurpose,Standard_D2a_v4,2,8.0,32,155,3.0,0.0,0,9.6875,0.0,12.6875
29,generalpurpose,Standard_D4a_v4,4,16.0,32,155,6.0,0.0,0,19.375,0.0,25.375
30,generalpurpose,Standard_D8a_v4,8,32.0,32,155,12.0,0.0,0,38.75,0.0,50.75
31,generalpurpose,Standard_D16a_v4,16,64.0,32,155,24.0,0.0,0,77.5,0.0,101.5
32,generalpurpose,Standard_D32a_v4,32,128.0,32,155,48.0,0.0,0,155.0,0.0,203.0
33,generalpurpose,Standard_D48a_v4,48,192.0,32,155,72.0,0.0,0,232.5,0.0,304.5
34,generalpurpose,Standard_D64a_v4,64,256.0,32,155,96.0,0.0,0,310.0,0.0,406.0
35,generalpurpose,Standard_D96a_v4,96,384.0,32,155,144.0,0.0,0,465.0,0.0,609.0
36,computeoptimized,Standard_F2s_v2,2,4.0,26,195,1.5,0.0,0,15.0,0.0,16.5
37,computeoptimized,Standard_F4s_v2,4,8.0,26,195,3.0,0.0,0,30.0,0.0,33.0
38,computeoptimized,Standard_F8s_v2,8,16.0,26,195,6.0,0.0,0,60.0,0.0,66.0
39,computeoptimized,Standard_F16s_v2,16,32.0,26,195,12.0,0.0,0,120.0,0.0,132.0
40,computeoptimized,Standard_F32s_v2,32,64.0,26,195,24.0,0.0,0,240.0,0.0,264.0
41,computeoptimized,Standard_F64s_v2,64,128.0,26,195,48.0,0.0,0,480.0,0.0,528.0
42,computeoptimized,Standard_F72s_v2,72,144.0,26,195,54.0,0.0,0,540.0,0.0,594.0
43,computeoptimized,Standard_FX4mds,4,84.0,16,205,31.5,0.0,0,51.25,0.0,82.75
44,computeoptimized,Standard_FX12mds,12,252.0,16,205,94.5,0.0,0,153.75,0.0,248.25
45,computeoptimized,Standard_FX24mds,24,504.0,16,205,189.0,0.0,0,307.5,0.0,496.5
46,computeoptimized,Standard_FX36mds,36,756.0,16,205,283.5,0.0,0,461.25,0.0,744.75
47,computeoptimized,Standard_FX48mds,48,1008.0,16,205,378.0,0.0,0,615.0,0.0,993.0
48,memoryoptimized,Standard_D11_v2,2,14.0,26,195,5.25,0.0,0,15.0,0.0,20.25
49,memoryoptimized,Standard_D12_v2,4,28.0,26,195,10.5,0.0,0,30.0,0.0,40.5
50,memoryoptimized,Standard_D13_v2,8,56.0,26,195,21.0,0.0,0,60.0,0.0,81.0
51,memoryoptimized,Standard_D14_v2,16,112.0,26,195,42.0,0.0,0,120.0,0.0,162.0
52,memoryoptimized,Standard_D12_v2,20,140.0,26,195,52.5,0.0,0,150.0,0.0,202.5
53,memoryoptimized,Standard_DS11_v2,2,14.0,26,195,5.25,0.0,0,15.0,0.0,20.25
54,memoryoptimized,Standard_DS12_v2,4,28.0,26,195,10.5,0.0,0,30.0,0.0,40.5
55,memoryoptimized,Standard_DS13_v2,8,56.0,26,195,21.0,0.0,0,60.0,0.0,81.0
56,memoryoptimized,Standard_DS14_v2,16,112.0,26,195,42.0,0.0,0,120.0,0.0,162.0
57,memoryoptimized,Standard_DS12_v2,20,140.0,26,195,52.5,0.0,0,150.0,0.0,202.5
58,memoryoptimized,Standard_E2_v3,2,16.0,26,195,6.0,0.0,0,15.0,0.0,21.0
59,memoryoptimized,Standard_E4_v3,4,32.0,26,195,12.0,0.0,0,30.0,0.0,42.0
60,memoryoptimized,Standard_E8_v3,8,64.0,26,195,24.0,0.0,0,60.0,0.0,84.0
61,memoryoptimized,Standard_E16_v3,16,128.0,26,195,48.0,0.0,0,120.0,0.0,168.0
62,memoryoptimized,Standard_E32_v3,32,256.0,26,195,96.0,0.0,0,240.0,0.0,336.0
63,memoryoptimized,Standard_E48_v3,48,384.0,26,195,144.0,0.0,0,360.0,0.0,504.0
64,memoryoptimized,Standard_E64_v3,64,432.0,26,195,162.0,0.0,0,480.0,0.0,642.0
65,memoryoptimized,Standard_E64i_v3,64,432.0,26,195,162.0,0.0,0,480.0,0.0,642.0
66,memoryoptimized,Standard_E2a_v4,2,16.0,32,155,6.0,0.0,0,9.6875,0.0,15.6875
67,memoryoptimized,Standard_E4a_v4,4,32.0,32,155,12.0,0.0,0,19.375,0.0,31.375
68,memoryoptimized,Standard_E8a_v4,8,64.0,32,155,24.0,0.0,0,38.75,0.0,62.75
69,memoryoptimized,Standard_E16a_v4,16,128.0,32,155,48.0,0.0,0,77.5,0.0,125.5
70,memoryoptimized,Standard_E20a_v4,20,160.0,32,155,60.0,0.0,0,96.875,0.0,156.875
71,memoryoptimized,Standard_E32a_v4,32,256.0,32,155,96.0,0.0,0,155.0,0.0,251.0
72,memoryoptimized,Standard_E48a_v4,48,384.0,32,155,144.0,0.0,0,232.5,0.0,376.5
73,memoryoptimized,Standard_E64a_v4,64,512.0,32,155,192.0,0.0,0,310.0,0.0,502.0
74,memoryoptimized,Standard_E96a_v4,96,672.0,32,155,252.0,0.0,0,465.0,0.0,717.0
75,storageoptimized,Standard_L8s_v2,8,64.0,32,180,24.0,0.0,0,45.0,0.0,69.0
76,storageoptimized,Standard_L16s_v2,16,128.0,32,180,48.0,0.0,0,90.0,0.0,138.0
77,storageoptimized,Standard_L32s_v2,32,256.0,32,180,96.0,0.0,0,180.0,0.0,276.0
78,storageoptimized,Standard_L48s_v2,48,384.0,32,180,144.0,0.0,0,270.0,0.0,414.0
79,storageoptimized,Standard_L64s_v2,64,512.0,32,180,192.0,0.0,0,360.0,0.0,552.0
80,storageoptimized,Standard_L80s_v2,80,640.0,32,180,240.0,0.0,0,450.0,0.0,690.0
81,gpuacceleratedcompute,Standard_NC6,6,56.0,12,135,21.0,1.0,300,67.5,300.0,388.5
82,gpuacceleratedcompute,Standard_NC12,12,112.0,12,135,42.0,2.0,300,135.0,600.0,777.0
83,gpuacceleratedcompute,Standard_NC24,24,224.0,12,135,84.0,4.0,300,270.0,1200.0,1554.0
84,gpuacceleratedcompute,Standard_NC24r,24,224.0,12,135,84.0,4.0,300,270.0,1200.0,1554.0
85,gpuacceleratedcompute,Standard_NC6s_v3,6,112.0,14,135,42.0,1.0,250,57.857142857142854,250.0,349.8571428571429
86,gpuacceleratedcompute,Standard_NC12s_v3,12,224.0,14,135,84.0,2.0,250,115.71428571428571,500.0,699.7142857142858
87,gpuacceleratedcompute,Standard_NC24s_v3,24,448.0,14,135,168.0,4.0,250,231.42857142857142,1000.0,1399.4285714285716
88,gpuacceleratedcompute,Standard_NC24sr_v3,24,448.0,14,135,168.0,4.0,250,231.42857142857142,1000.0,1399.4285714285716
89,gpuacceleratedcompute,Standard_NV4as_v4,4,14.0,64,240,5.25,0.125,300,15.0,37.5,57.75
90,gpuacceleratedcompute,Standard_NV8as_v4,8,28.0,64,240,10.5,0.25,300,30.0,75.0,115.5
91,gpuacceleratedcompute,Standard_NV16as_v4,16,56.0,64,240,21.0,0.5,300,60.0,150.0,231.0
92,gpuacceleratedcompute,Standard_NV32as_v4,32,112.0,64,240,42.0,1.0,300,120.0,300.0,462.0
