Region,VM SKU,Emissions per month(kg),Workload Units = 3,Workload Units = 5,AKS Workload Units = 3,AKS Workload Units = 5
US West,E2s v4,4.9264903198015695,14.779470959404708,24.632451599007847,10.674934208536403,15.601424528337972
US West,F2s v2,4.251073507588235,12.753220522764707,21.255367537941176,9.661808990216404,13.912882497804638
US West,D3 v2/DS3 v2,10.329824817508296,30.989474452524888,51.64912408754148,18.779935955096494,29.10976077260479
US West,D2 v2/DS2 v2,3.0988918867537127,9.296675660261139,15.494459433768563,7.933536558964619,11.032428445718331
US East,E2s v4,5.250952148909954,15.752856446729863,26.25476074454977,11.161626952198981,16.412579101108935
US East,F2s v2,2.2453588639846584,6.736076591953975,11.226794319923293,6.6532370248110375,8.898595888795697
US East,D3 v2/DS3 v2,6.940753471019389,20.822260413058167,34.70376735509694,13.696328935363134,20.637082406382522
US East,D2 v2/DS2 v2,6.016995414932896,18.050986244798686,30.08497707466448,12.310691851233393,18.32768726616629
EU North,E2s v4,3.658375008011535,10.975125024034604,18.291875040057676,8.772761240851352,12.431136248862888
EU North,F2s v2,2.601541023996657,7.804623071989972,13.007705119983285,7.187510264829035,9.789051288825693
EU North,D3 v2/DS3 v2,6.523569364674107,19.570708094022322,32.617846823370535,13.070552775845211,19.594122140519318
EU North,D2 v2/DS2 v2,5.795528175686075,17.386584527058226,28.97764087843037,11.978490992363163,17.774019168049236
EU West,E2s v4,5.626828478447745,16.880485435343235,28.134142392238726,11.725441446505666,17.35226992495341
EU West,F2s v2,2.437240130172429,7.311720390517287,12.186200650862144,6.941058924092693,9.37829905426512
EU West,D3 v2/DS3 v2,6.2343691162144745,18.703107348643425,31.171845581072372,12.63675240315576,18.871121519370234
EU West,D2 v2/DS2 v2,6.104181836693031,18.312545510079094,30.520909183465154,12.441471483873595,18.545653320566625
AU East,E2s v4,6.898782687400419,20.696348062201256,34.49391343700209,13.633372759934677,20.532155447335096
AU East,F2s v2,5.845072717548771,17.535218152646312,29.225363587743853,12.052807805157205,17.897880522705975
AU East,D3 v2/DS3 v2,15.302119696967235,45.9063590909017,76.51059848483618,26.2383782742849,41.54049797125214
AU East,D2 v2/DS2 v2,7.899807158759507,23.69942147627852,39.49903579379753,15.134909466973308,23.034716625732816
AU Central,E2s v4,12.876804464997477,38.63041339499243,64.38402232498738,22.600405426330266,35.47720989132774
AU Central,F2s v2,16.91207568628757,50.73622705886271,84.56037843143784,28.653312258265405,45.56538794455297
AU Central,D3 v2/DS3 v2,27.23305784843326,81.69917354529977,136.1652892421663,44.13478550148393,71.3678433499172
AU Central,D2 v2/DS2 v2,22.964982518222563,68.89494755466768,114.82491259111282,37.73267250616789,60.69765502439046
