,date,Pumps -  GWh,Coal (Black) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Mean - C,Temperature Min - C,Temperature Max - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Total Generation,PercentRenewables,TotalCO2Emissions,CarbonIntensity
0,2020-10-01,-8.62,2652.18,0.04,56.43,19.16,92.25,229.23,159.6,260.46,19.54,12.5,28.8,70999.29,583038.0,2438084.0,29.02,25445.61,13916.1,3460.7299999999996,0.21427271124878283,2477474.73,715.8821202463065
1,2020-11-01,-21.24,4011.9,-0.02,67.58,14.39,253.55,333.0,274.01,472.04,21.44,12.4,40.8,113993.14,632282.0,3698435.0,-11.83,30473.83,10724.3,5405.21,0.24653991241783388,3739621.3,691.8549510564807
2,2020-12-01,-38.05,3841.31,0.2,37.22,31.18,301.27,430.64,305.34,435.85,21.43,14.4,30.8,39742.79,832359.0,3533825.0,142.02,16999.81,23343.1,5344.96,0.27560543016224626,3574309.93,668.7252907411843
3,2021-01-01,-8.73,4134.1,-0.02,63.6,2.21,253.33,406.35,304.57,479.67,22.54,15.2,37.1,21218.31,839336.0,3800924.0,-13.0,28564.01,1640.45,5635.080000000001,0.25623771091093644,3831115.46,679.8688678776521
4,2021-02-01,-7.15,3770.3,-0.02,0.1,2.68,210.23,380.5,286.54,399.32,21.99,16.5,33.0,16188.59,683583.0,3469040.0,-16.1,58.02,2098.59,5042.499999999999,0.2531660882498761,3471180.51,688.3848309370353
5,2021-03-01,-19.52,4001.8,-0.02,12.38,21.43,202.21,469.72,278.99,375.75,20.84,12.2,30.6,12581.23,809835.0,3689608.0,-17.37,5603.62,15534.75,5342.74,0.2483126635396819,3710729.0,694.5366983982002
6,2021-04-01,-29.27,3909.1,-0.03,30.56,17.93,170.27,339.97,276.11,382.29,18.16,9.3,28.6,88446.69,710491.0,3605975.0,-18.75,14195.49,13028.9,5096.929999999999,0.22928311748444652,3633180.64,712.8174489349473
7,2021-05-01,-22.78,4510.8,0.01,25.99,37.36,323.51,363.85,235.81,285.35,15.66,7.8,25.9,96689.65,545142.0,4152974.0,9.94,12053.99,27673.2,5759.9000000000015,0.20981614264136525,4192711.1300000004,727.9138752408895
8,2021-06-01,-55.31,4909.5,0.38,144.45,72.03,327.66,452.01,144.94,241.62,12.95,5.9,21.5,69315.2,572612.0,4513774.0,265.38,65905.91,53647.5,6237.279999999999,0.1869773362747865,4633592.79,742.8867695533952
9,2021-07-01,-101.04,4953.2,0.5,102.58,111.35,200.85,568.44,168.94,292.54,12.77,5.2,25.0,52005.4,746545.0,4578443.0,354.95,46602.23,81605.4,6297.360000000001,0.1954422170560362,4707005.580000001,747.4569629177942
10,2021-08-01,-19.33,4447.1,-0.04,27.58,31.33,126.57,512.11,261.06,394.62,14.39,7.9,25.4,96148.19,674877.0,4103767.0,-30.37,12671.81,22714.5,5781.0,0.22389897941532608,4139122.94,715.9873620480886
11,2021-09-01,-30.15,3711.3,-0.06,75.9,17.35,140.27,500.1,326.67,485.92,16.24,7.3,30.0,70971.59,567193.0,3423402.0,-45.8,34125.38,12609.09,5227.3,0.27795611501157386,3470090.67,663.8399690088573
